,Put,Call,Put - Volume,Call - Volume
217.5,1.67,27.24,453,0
220.0,1.97,25.02,7772,93
222.5,2.39,22.92,1752,1
225.0,2.82,20.83,4310,80
227.5,3.24,18.74,1008,1
230.0,3.92,16.91,8059,63
232.5,4.63,15.09,656,0
235.0,5.38,13.32,4885,3230
237.5,6.22,11.65,658,45
240.0,7.22,10.13,3858,1307
242.5,8.27,8.66,1449,4059
245.0,9.48,7.35,773,2798
247.5,10.8,6.15,14,597
250.0,12.28,5.11,151,9357
252.5,13.93,4.25,20,1337
255.0,15.59,3.39,44,1615
257.5,17.29,2.58,0,1029
260.0,19.32,2.11,18,3056
262.5,21.4,1.67,4,1752
265.0,23.5,1.27,2,2077
